Regional;Bairro;PopulaçãoTotal;PopHomens;PopMulheres;MédiaDeMoradoresPorDomicílio;RazãoDeDependência
REGIONAL 5;Parque Presidente Vargas;7.192;3.560;3.632;3,69;51,57
REGIONAL 6;Parque Santa Maria*;-;-;-;-;-
REGIONAL 5;Parque Santa Rosa;12.790;6.106;6.684;3,43;42,21
REGIONAL 5;Parque São José;10.486;5.007;5.479;3,47;45,22
REGIONAL 3;Parquelândia;14.432;6.283;8.149;3,22;36,61
REGIONAL 4;Parreão;11.072;4.977;6.095;3,43;39,80
REGIONAL 6;Passaré;50.940;24.541;26.399;3,38;42,92
REGIONAL 6;Paupina;14.665;7.042;7.623;3,46;41,55
REGIONAL 6;Pedras;1.342;670;672;3,63;46,99
REGIONAL 3;Pici;42.494;20.330;22.164;3,58;43,00
REGIONAL 1;Pirambú;17.775;8.430;9.345;3,65;49,62
REGIONAL 5;Planalto Ayrton Senna;39.446;19.277;20.169;3,56;46,83
REGIONAL 2;Praia de Iracema;3.130;1.437;1.693;2,87;34,28
REGIONAL 2;Praia do Futuro I;6.630;3.224;3.406;3,42;49,86
REGIONAL 2;Praia do Futuro II;11.957;5.879;6.078;3,46;48,74
REGIONAL 5;Prefeito José Valter;33.427;15.401;18.026;3,42;43,27
REGIONAL 3;Presidente Kennedy;23.004;10.327;12.677;3,43;37,83
REGIONAL 3;Quintino Cunha;47.277;22.471;24.806;3,58;42,43
REGIONAL 3;Rodolfo Teófilo;19.114;8.575;10.539;3,36;38,45
REGIONAL 6;Sabiaguaba;2.117;1.043;1.074;3,59;43,23
REGIONAL 2;Salinas;4.298;2.014;2.284;3,51;38,91
REGIONAL 6;São Bento;11.964;5.771;6.193;3,36;46,71
REGIONAL 1;São Gerardo;14.505;6.376;8.129;3,27;34,87
REGIONAL 2;São João do Tauape;27.598;12.498;15.100;3,32;39,31
REGIONAL 6;Sapiranga/Coité;32.158;15.278;16.880;3,73;43,25
REGIONAL 4;Serrinha;28.770;13.823;14.947;3,47;40,88
REGIONAL 5;Siqueira;33.628;16.373;17.255;3,63;51,59
REGIONAL 2;Varjota;8.421;3.645;4.776;3,01;32,07
REGIONAL 1;Vila Ellery;7.863;3.544;4.319;3,43;39,41
REGIONAL 4;Vila Pery;20.645;9.517;11.128;3,38;38,50
REGIONAL 4;Vila União;15.378;7.090;8.288;3,38;39,63
REGIONAL 1;Vila Velha;61.617;29.108;32.509;3,55;43,99
REGIONAL 2;Vicente Pinzon;45.518;21.766;23.752;3,55;42,98
